"se","sc","scal","profit","deals"
0.2,0.4,1.7,"353.84",324
0.2,0.4,1.75,"366.95",324
0.2,0.4,1.8,"366.95",324
0.2,0.4,1.85,"366.95",324
0.2,0.4,1.9,"366.95",324
0.2,0.4,1.95,"366.95",324
0.2,0.4,2,"377.39",324
0.2,0.45,1.1,"647.11",324
0.2,0.45,1.15,"654.98",324
0.2,0.45,1.2,"654.98",324
0.2,0.45,1.25,"649.18",324
0.2,0.45,1.3,"649.18",324
0.2,0.45,1.35,"649.18",324
0.2,0.45,1.4,"633.02",324
0.2,0.45,1.45,"432.50",324
0.2,0.45,1.5,"432.50",324
0.2,0.45,1.55,"432.50",324
0.2,0.45,1.6,"432.50",324
0.2,0.45,1.65,"455.30",324
0.2,0.45,1.7,"455.30",324
0.2,0.45,1.75,"452.26",324
0.2,0.45,1.8,"452.26",324
0.2,0.45,1.85,"452.26",324
0.2,0.45,1.9,"452.26",324
0.2,0.45,1.95,"452.26",324
0.2,0.45,2,"472.14",324
0.2,0.5,1.1,"699.17",324
0.2,0.5,1.15,"695.37",324
0.2,0.5,1.2,"695.37",324
0.2,0.5,1.25,"695.37",324
0.2,0.5,1.3,"695.37",324
0.2,0.5,1.35,"695.37",324
0.2,0.5,1.4,"677.13",324
0.2,0.5,1.45,"504.53",324
0.2,0.5,1.5,"504.53",324
0.2,0.5,1.55,"504.53",324
0.2,0.5,1.6,"504.53",324
