"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","scaling","cond_close","profit","deals"
3,-3,1,2,"21.28",24
3,-3,1,2.2,"16.75",18
3,-3,1,2.4,"15.16",15
3,-3,1,2.6,"14.83",15
3,-3,1,2.8,"15.67",12
3,-3,1,3,"13.85",9
3,-3,1.5,0.6,"51.25",159
3,-3,1.5,0.8,"51.97",119
3,-3,1.5,1,"52.99",88
3,-3,1.5,1.2,"40.25",61
3,-3,1.5,1.4,"37.72",45
3,-3,1.5,1.6,"34.07",39
3,-3,1.5,1.8,"35.09",35
3,-3,1.5,2,"29.35",29
3,-3,1.5,2.2,"23.67",23
3,-3,1.5,2.4,"22.72",19
3,-3,1.5,2.6,"20.63",18
3,-3,1.5,2.8,"16.04",12
3,-3,1.5,3,"15.96",10
3,-3,2,0.6,"51.69",165
3,-3,2,0.8,"54.44",128
3,-3,2,1,"44.28",87
3,-3,2,1.2,"50.65",74
3,-3,2,1.4,"36.20",47
3,-3,2,1.6,"35.25",39
3,-3,2,1.8,"35.88",38
3,-3,2,2,"27.01",29
3,-3,2,2.2,"28.25",27
3,-3,2,2.4,"25.39",22
