"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","cond_close","profit","deals"
2,-1.9,0.4,"57.78",267
2,-1.9,0.5,"44.92",194
2,-1.9,0.6,"44.66",163
2,-1.9,0.7,"61.19",149
2,-1.9,0.8,"47.65",114
2,-2,0.4,"59.14",271
2,-2,0.5,"47.57",202
2,-2,0.6,"45.60",166
2,-2,0.7,"48.56",141
2,-2,0.8,"62.44",131
