"cond_open","cond_close","step_entry","profit","deals"
-0.8,0.7,0.15,"85.59",304
-0.8,0.7,0.2,"102.83",299
-0.8,0.7,0.25,"143.66",299
-0.8,0.7,0.3,"166.24",295
-0.8,0.8,0.1,"50.79",273
-0.8,0.8,0.15,"62.26",265
-0.8,0.8,0.2,"73.84",267
-0.8,0.8,0.25,"91.07",266
-0.8,0.8,0.3,"94.03",260
-0.8,0.9,0.1,"47.74",248
-0.8,0.9,0.15,"50.88",243
-0.8,0.9,0.2,"65.17",235
-0.8,0.9,0.25,"92.84",241
-0.8,0.9,0.3,"56.49",225
-0.8,1,0.1,"62.81",243
-0.8,1,0.15,"101.43",242
-0.8,1,0.2,"137.07",243
-0.8,1,0.25,"105.69",240
-0.8,1,0.3,"79.48",230
-0.7,0.1,0.1,"43.55",1100
-0.7,0.1,0.15,"50.10",1083
-0.7,0.1,0.2,"43.42",1017
-0.7,0.1,0.25,"51.66",1003
-0.7,0.1,0.3,"56.57",986
-0.7,0.2,0.1,"44.55",810
-0.7,0.2,0.15,"55.81",801
-0.7,0.2,0.2,"69.35",781
-0.7,0.2,0.25,"111.79",792
-0.7,0.2,0.3,"145.94",795
-0.7,0.3,0.1,"55.12",679
-0.7,0.3,0.15,"69.22",661
-0.7,0.3,0.2,"105.68",668
-0.7,0.3,0.25,"162.31",677
-0.7,0.3,0.3,"191.12",668
-0.7,0.4,0.1,"42.40",537
-0.7,0.4,0.15,"63.90",534
-0.7,0.4,0.2,"83.86",520
-0.7,0.4,0.25,"80.72",508
-0.7,0.4,0.3,"91.88",501
-0.7,0.5,0.1,"50.64",463
-0.7,0.5,0.15,"67.26",457
-0.7,0.5,0.2,"67.31",433
-0.7,0.5,0.25,"51.91",424
-0.7,0.5,0.3,"69.12",420
-0.7,0.6,0.1,"42.70",407
-0.7,0.6,0.15,"60.89",404
-0.7,0.6,0.2,"80.91",401
-0.7,0.6,0.25,"103.61",399
-0.7,0.6,0.3,"156.69",394
-0.7,0.7,0.1,"56.05",387
-0.7,0.7,0.15,"80.05",386
-0.7,0.7,0.2,"96.11",380
-0.7,0.7,0.25,"103.10",367
-0.7,0.7,0.3,"114.92",357
-0.7,0.8,0.1,"62.42",342
-0.7,0.8,0.15,"71.05",326
-0.7,0.8,0.2,"80.12",320
-0.7,0.8,0.25,"56.31",310
-0.7,0.8,0.3,"97.36",313
-0.7,0.9,0.1,"54.36",295
-0.7,0.9,0.15,"66.81",292
-0.7,0.9,0.2,"65.40",286
-0.7,0.9,0.25,"37.16",275
-0.7,0.9,0.3,"89.40",280
-0.7,1,0.1,"64.96",267
-0.7,1,0.15,"92.91",264
-0.7,1,0.2,"116.50",262
-0.7,1,0.25,"115.42",260
-0.7,1,0.3,"159.21",266
-0.6,0.1,0.1,"27.31",1313
-0.6,0.1,0.15,"35.66",1283
-0.6,0.1,0.2,"11.51",1189
-0.6,0.1,0.25,"0.61",1166
-0.6,0.1,0.3,"-0.76",1148
-0.6,0.2,0.1,"35.24",963
-0.6,0.2,0.15,"29.75",917
-0.6,0.2,0.2,"33.43",900
-0.6,0.2,0.25,"18.16",847
-0.6,0.2,0.3,"24.81",849
-0.6,0.3,0.1,"73.80",821
-0.6,0.3,0.15,"82.47",789
-0.6,0.3,0.2,"92.95",755
-0.6,0.3,0.25,"95.56",768
-0.6,0.3,0.3,"109.13",761
-0.6,0.4,0.1,"49.84",647
-0.6,0.4,0.15,"52.71",617
-0.6,0.4,0.2,"64.39",612
-0.6,0.4,0.25,"44.17",596
-0.6,0.4,0.3,"27.76",582
-0.6,0.5,0.1,"66.02",560
-0.6,0.5,0.15,"52.58",520
-0.6,0.5,0.2,"73.84",519
-0.6,0.5,0.25,"83.19",510
-0.6,0.5,0.3,"93.19",507
-0.6,0.6,0.1,"51.29",483
-0.6,0.6,0.15,"64.96",475
-0.6,0.6,0.2,"77.99",475
-0.6,0.6,0.25,"85.68",459
-0.6,0.6,0.3,"59.49",441
-0.6,0.7,0.1,"53.72",398
-0.6,0.7,0.15,"71.83",396
-0.6,0.7,0.2,"83.79",392
-0.6,0.7,0.25,"94.68",387
-0.6,0.7,0.3,"141.66",386
-0.6,0.8,0.1,"57.99",348
-0.6,0.8,0.15,"82.13",359
-0.6,0.8,0.2,"109.11",356
-0.6,0.8,0.25,"108.18",344
-0.6,0.8,0.3,"170.24",339
-0.6,0.9,0.1,"68.14",322
-0.6,0.9,0.15,"82.62",312
-0.6,0.9,0.2,"127.87",323
-0.6,0.9,0.25,"64.98",315
-0.6,0.9,0.3,"132.16",311
-0.6,1,0.1,"45.38",256
-0.6,1,0.15,"53.08",258
-0.6,1,0.2,"48.79",262
-0.6,1,0.25,"27.68",243
-0.6,1,0.3,"88.12",258
-0.5,0.1,0.1,"21.04",1341
-0.5,0.1,0.15,"-1.75",1280
-0.5,0.1,0.2,"-12.52",1230
-0.5,0.1,0.25,"-13.60",1221
-0.5,0.1,0.3,"-28.46",1183
-0.5,0.2,0.1,"24.23",941
-0.5,0.2,0.15,"21.98",947
-0.5,0.2,0.2,"5.98",861
-0.5,0.2,0.25,"6.59",862
-0.5,0.2,0.3,"4.34",833
-0.5,0.3,0.1,"10.65",761
-0.5,0.3,0.15,"8.51",756
-0.5,0.3,0.2,"20.01",748
-0.5,0.3,0.25,"17.65",734
-0.5,0.3,0.3,"8.86",731
-0.5,0.4,0.1,"-12.02",636
-0.5,0.4,0.15,"-14.67",623
-0.5,0.4,0.2,"-26.99",602
-0.5,0.4,0.25,"-32.74",598
-0.5,0.4,0.3,"-39.18",594
-0.5,0.5,0.1,"14.09",523
