"se","sc","scal","profit","deals"
0.15,0.3,1.1,"321.01",107
0.15,0.3,1.15,"320.16",107
0.15,0.3,1.2,"232.24",107
0.15,0.3,1.25,"228.17",107
0.15,0.3,1.3,"224.20",107
0.15,0.3,1.35,"219.62",107
0.15,0.3,1.4,"213.04",107
0.15,0.3,1.45,"208.21",107
0.15,0.3,1.5,"208.06",107
0.15,0.3,1.55,"204.82",107
0.15,0.3,1.6,"205.48",107
0.15,0.3,1.65,"203.32",107
0.15,0.3,1.7,"203.32",107
0.15,0.3,1.75,"203.32",107
0.15,0.3,1.8,"198.86",107
0.15,0.3,1.85,"201.59",107
0.15,0.3,1.9,"201.59",107
0.15,0.3,1.95,"201.59",107
0.15,0.3,2,"199.33",107
0.15,0.35,1.1,"338.48",107
0.15,0.35,1.15,"337.43",107
0.15,0.35,1.2,"290.11",107
0.15,0.35,1.25,"284.54",107
0.15,0.35,1.3,"279.74",107
0.15,0.35,1.35,"273.49",107
0.15,0.35,1.4,"264.53",107
0.15,0.35,1.45,"257.98",107
0.15,0.35,1.5,"257.77",107
0.15,0.35,1.55,"250.43",107
0.15,0.35,1.6,"251.34",107
0.15,0.35,1.65,"248.44",107
0.15,0.35,1.7,"248.44",107
0.15,0.35,1.75,"248.44",107
0.15,0.35,1.8,"242.49",107
0.15,0.35,1.85,"246.13",107
0.15,0.35,1.9,"246.13",107
0.15,0.35,1.95,"246.13",107
0.15,0.35,2,"243.11",107
0.15,0.4,1.1,"388.19",107
0.15,0.4,1.15,"386.82",107
0.15,0.4,1.2,"341.26",107
0.15,0.4,1.25,"334.07",107
0.15,0.4,1.3,"327.89",107
0.15,0.4,1.35,"319.85",107
0.15,0.4,1.4,"308.37",107
0.15,0.4,1.45,"300.00",107
0.15,0.4,1.5,"299.74",107
0.15,0.4,1.55,"290.39",107
0.15,0.4,1.6,"291.55",107
0.15,0.4,1.65,"287.87",107
0.15,0.4,1.7,"287.87",107
0.15,0.4,1.75,"287.87",107
0.15,0.4,1.8,"280.31",107
0.15,0.4,1.85,"284.93",107
0.15,0.4,1.9,"284.93",107
0.15,0.4,1.95,"284.93",107
0.15,0.4,2,"281.09",107
0.15,0.45,1.1,"445.99",107
0.15,0.45,1.15,"444.26",107
0.15,0.45,1.2,"394.82",107
0.15,0.45,1.25,"385.77",107
0.15,0.45,1.3,"378.00",107
0.15,0.45,1.35,"367.92",107
0.15,0.45,1.4,"353.56",107
0.15,0.45,1.45,"343.14",107
0.15,0.45,1.5,"342.81",107
0.15,0.45,1.55,"331.18",107
0.15,0.45,1.6,"332.64",107
0.15,0.45,1.65,"328.07",107
0.15,0.45,1.7,"328.07",107
0.15,0.45,1.75,"328.07",107
0.15,0.45,1.8,"318.70",107
0.15,0.45,1.85,"324.42",107
0.15,0.45,1.9,"324.42",107
0.15,0.45,1.95,"324.42",107
0.15,0.45,2,"319.66",107
0.15,0.5,1.1,"510.66",107
0.15,0.5,1.15,"508.49",107
0.15,0.5,1.2,"452.56",107
0.15,0.5,1.25,"441.35",107
0.15,0.5,1.3,"431.73",107
0.15,0.5,1.35,"419.30",107
0.15,0.5,1.4,"401.64",107
0.15,0.5,1.45,"388.86",107
0.15,0.5,1.5,"388.46",107
0.15,0.5,1.55,"374.24",107
0.15,0.5,1.6,"376.04",107
0.15,0.5,1.65,"370.46",107
0.15,0.5,1.7,"370.46",107
0.15,0.5,1.75,"370.46",107
0.15,0.5,1.8,"359.03",107
0.15,0.5,1.85,"365.99",107
