"cond_open","cond_close","trail_range","profit","deals"
-1.7,0.9,0.6,"207.25",47
-1.7,0.9,0.7,"207.78",47
-1.7,0.9,0.8,"207.76",46
-1.7,0.9,0.9,"197.91",45
-1.7,0.9,1,"176.29",42
-1.7,1,0.1,"449.56",61
-1.7,1,0.2,"399.04",59
-1.7,1,0.3,"373.82",56
-1.7,1,0.4,"255.47",54
-1.7,1,0.5,"206.85",49
-1.7,1,0.6,"214.23",47
-1.7,1,0.7,"212.03",47
-1.7,1,0.8,"208.75",46
-1.7,1,0.9,"199.24",45
-1.7,1,1,"183.84",42
-1.7,1.1,0.1,"464.40",61
-1.7,1.1,0.2,"409.04",59
-1.7,1.1,0.3,"383.12",56
-1.7,1.1,0.4,"262.64",54
-1.7,1.1,0.5,"208.68",49
-1.7,1.1,0.6,"214.66",47
-1.7,1.1,0.7,"212.42",47
-1.7,1.1,0.8,"206.04",45
-1.7,1.1,0.9,"203.51",44
-1.7,1.1,1,"183.84",42
-1.7,1.2,0.1,"468.88",61
-1.7,1.2,0.2,"412.00",59
-1.7,1.2,0.3,"388.65",56
-1.7,1.2,0.4,"264.20",54
-1.7,1.2,0.5,"217.43",49
-1.7,1.2,0.6,"220.91",47
-1.7,1.2,0.7,"218.01",47
-1.7,1.2,0.8,"208.90",45
-1.7,1.2,0.9,"205.22",44
-1.7,1.2,1,"189.25",42
-1.7,1.3,0.1,"476.07",60
-1.7,1.3,0.2,"390.93",55
-1.7,1.3,0.3,"328.31",51
-1.7,1.3,0.4,"219.38",49
-1.7,1.3,0.5,"208.11",46
-1.7,1.3,0.6,"208.43",46
-1.7,1.3,0.7,"206.18",46
-1.7,1.3,0.8,"195.40",44
